num_date_time,answer
1_20220825 00,2004.4474
1_20220825 01,1906.8018
1_20220825 02,1680.762
1_20220825 03,1646.7355
1_20220825 04,1639.8036
1_20220825 05,1823.5697
1_20220825 06,2226.3848
1_20220825 07,2433.7097
1_20220825 08,2757.6611
1_20220825 09,3256.9102
1_20220825 10,3568.15
1_20220825 11,3648.795
1_20220825 12,3605.8352
1_20220825 13,3978.9924
1_20220825 14,4250.713
1_20220825 15,3712.587
1_20220825 16,3706.4585
1_20220825 17,3333.203
1_20220825 18,2751.7373
1_20220825 19,2339.7244
1_20220825 20,2215.846
1_20220825 21,2010.492
1_20220825 22,1598.2156
1_20220825 23,2408.9846
1_20220826 00,2323.5688
1_20220826 01,2208.7466
1_20220826 02,2025.2964
1_20220826 03,1940.6587
1_20220826 04,1880.4297
1_20220826 05,2146.9282
1_20220826 06,2203.421
1_20220826 07,2278.5452
1_20220826 08,2803.5312
1_20220826 09,3248.2957
1_20220826 10,3529.484
1_20220826 11,3687.6462
1_20220826 12,3686.3308
1_20220826 13,3767.7747
1_20220826 14,3742.7441
1_20220826 15,3973.4067
1_20220826 16,4115.9653
1_20220826 17,3285.38
1_20220826 18,2798.4133
1_20220826 19,2607.9714
1_20220826 20,2276.7444
1_20220826 21,2065.0486
1_20220826 22,1589.3132
1_20220826 23,1976.986
1_20220827 00,1975.3954
1_20220827 01,1880.2865
1_20220827 02,1754.3506
1_20220827 03,1647.1394
1_20220827 04,1736.5757
1_20220827 05,1865.3322
1_20220827 06,2086.866
1_20220827 07,2013.3844
1_20220827 08,2174.9124
1_20220827 09,2827.2007
1_20220827 10,3247.5586
1_20220827 11,3264.554
1_20220827 12,3313.4258
1_20220827 13,3260.0056
1_20220827 14,3348.75
1_20220827 15,3337.5266
1_20220827 16,3326.6465
1_20220827 17,3123.4553
1_20220827 18,2591.8481
1_20220827 19,2246.9067
1_20220827 20,2076.9763
1_20220827 21,2030.0237
1_20220827 22,1455.8126
1_20220827 23,1850.6729
1_20220828 00,1760.1428
1_20220828 01,1653.9475
1_20220828 02,1416.4865
1_20220828 03,1363.846
1_20220828 04,1369.234
1_20220828 05,1515.5205
1_20220828 06,1589.7682
1_20220828 07,1646.8115
1_20220828 08,1788.4691
1_20220828 09,2060.3196
1_20220828 10,2722.593
1_20220828 11,2836.0928
1_20220828 12,2942.1714
1_20220828 13,3021.6047
1_20220828 14,2981.3936
1_20220828 15,2915.5056
1_20220828 16,2900.7883
1_20220828 17,2783.9358
1_20220828 18,2659.0193
1_20220828 19,2208.7803
1_20220828 20,2259.3662
1_20220828 21,1998.1975
1_20220828 22,1534.2302
1_20220828 23,2379.4675
1_20220829 00,2332.022
1_20220829 01,2196.01
1_20220829 02,2066.8572
1_20220829 03,1958.9299
1_20220829 04,2031.9874
1_20220829 05,2167.5159
1_20220829 06,2285.071
1_20220829 07,2010.5424
1_20220829 08,2381.9678
1_20220829 09,2949.7827
1_20220829 10,3107.9531
1_20220829 11,3273.5696
1_20220829 12,3227.155
1_20220829 13,3182.4663
1_20220829 14,3277.5698
1_20220829 15,3239.1553
1_20220829 16,3190.545
1_20220829 17,3075.348
1_20220829 18,2606.0022
1_20220829 19,2202.7593
1_20220829 20,2068.9673
1_20220829 21,1888.7605
1_20220829 22,1508.3579
1_20220829 23,1986.9381
1_20220830 00,2010.4874
1_20220830 01,1932.0966
1_20220830 02,1802.1244
1_20220830 03,1637.99
1_20220830 04,1682.173
1_20220830 05,1926.9387
1_20220830 06,2013.349
1_20220830 07,2283.0051
1_20220830 08,2891.571
1_20220830 09,3317.8086
1_20220830 10,3582.466
1_20220830 11,3664.371
1_20220830 12,3656.891
1_20220830 13,3599.4077
1_20220830 14,3626.276
1_20220830 15,3674.005
1_20220830 16,3675.5955
1_20220830 17,3438.9492
1_20220830 18,2819.6514
1_20220830 19,2578.1997
1_20220830 20,2336.3374
1_20220830 21,1796.125
1_20220830 22,1552.286
1_20220830 23,2289.2715
1_20220831 00,2244.136
1_20220831 01,2189.1274
1_20220831 02,2071.5662
1_20220831 03,1970.8082
1_20220831 04,1821.1813
1_20220831 05,2020.5911
1_20220831 06,2094.1929
1_20220831 07,2386.4224
